Category: All categories

Week,BCH: (United States)
2016-10-09,8
2016-10-16,7
2016-10-23,7
2016-10-30,9
2016-11-06,7
2016-11-13,8
2016-11-20,5
2016-11-27,7
2016-12-04,8
2016-12-11,7
2016-12-18,8
2016-12-25,7
2017-01-01,8
2017-01-08,8
2017-01-15,8
2017-01-22,9
2017-01-29,9
2017-02-05,8
2017-02-12,7
2017-02-19,9
2017-02-26,9
2017-03-05,8
2017-03-12,9
2017-03-19,8
2017-03-26,8
2017-04-02,8
2017-04-09,8
2017-04-16,8
2017-04-23,8
2017-04-30,8
2017-05-07,7
2017-05-14,9
2017-05-21,8
2017-05-28,7
2017-06-04,8
2017-06-11,9
2017-06-18,9
2017-06-25,8
2017-07-02,9
2017-07-09,9
2017-07-16,8
2017-07-23,10
2017-07-30,36
2017-08-06,17
2017-08-13,22
2017-08-20,18
2017-08-27,13
2017-09-03,11
2017-09-10,10
2017-09-17,8
2017-09-24,9
2017-10-01,8
2017-10-08,12
2017-10-15,10
2017-10-22,9
2017-10-29,13
2017-11-05,25
2017-11-12,47
2017-11-19,19
2017-11-26,20
2017-12-03,19
2017-12-10,22
2017-12-17,100
2017-12-24,22
2017-12-31,21
2018-01-07,20
2018-01-14,18
2018-01-21,13
2018-01-28,13
2018-02-04,14
2018-02-11,13
2018-02-18,11
2018-02-25,10
2018-03-04,11
2018-03-11,12
2018-03-18,10
2018-03-25,10
2018-04-01,11
2018-04-08,11
2018-04-15,11
2018-04-22,14
2018-04-29,13
2018-05-06,11
2018-05-13,11
2018-05-20,12
2018-05-27,10
2018-06-03,10
2018-06-10,11
2018-06-17,10
2018-06-24,10
2018-07-01,10
2018-07-08,10
2018-07-15,11
2018-07-22,11
2018-07-29,9
2018-08-05,11
2018-08-12,10
2018-08-19,9
2018-08-26,9
2018-09-02,9
2018-09-09,9
2018-09-16,9
2018-09-23,9
2018-09-30,9
2018-10-07,9
2018-10-14,8
2018-10-21,9
2018-10-28,9
2018-11-04,25
