Date,Search: CRYPTO Story Count
2018-11-01,64
2018-10-31,42
2018-10-30,53
2018-10-29,23
2018-10-28,3
2018-10-27,3
2018-10-26,15
2018-10-25,29
2018-10-24,36
2018-10-23,32
2018-10-22,18
2018-10-21,4
2018-10-20,12
2018-10-19,22
2018-10-18,32
2018-10-17,13
2018-10-16,16
2018-10-15,35
2018-10-14,7
2018-10-13,5
2018-10-12,23
2018-10-11,43
2018-10-10,33
2018-10-09,31
2018-10-08,22
2018-10-07,5
2018-10-06,6
2018-10-05,24
2018-10-04,29
2018-10-03,26
2018-10-02,41
2018-10-01,19
2018-09-30,5
2018-09-29,5
2018-09-28,25
2018-09-27,38
2018-09-26,25
2018-09-25,52
2018-09-24,13
2018-09-23,7
2018-09-22,9
2018-09-21,33
2018-09-20,62
2018-09-19,49
2018-09-18,21
2018-09-17,19
2018-09-16,14
2018-09-15,16
2018-09-14,20
2018-09-13,20
2018-09-12,33
2018-09-11,54
2018-09-10,51
2018-09-09,13
2018-09-08,10
2018-09-07,39
2018-09-06,92
2018-09-05,65
2018-09-04,26
2018-09-03,11
2018-09-02,5
2018-09-01,9
2018-08-31,20
2018-08-30,17
2018-08-29,17
2018-08-28,11
2018-08-27,20
2018-08-26,6
2018-08-25,8
2018-08-24,28
2018-08-23,24
2018-08-22,26
2018-08-21,31
2018-08-20,34
2018-08-19,13
2018-08-18,14
2018-08-17,35
2018-08-16,25
2018-08-15,44
2018-08-14,82
2018-08-13,23
2018-08-12,5
2018-08-11,9
2018-08-10,38
2018-08-09,26
2018-08-08,50
2018-08-07,46
2018-08-06,35
2018-08-05,9
2018-08-04,9
2018-08-03,44
2018-08-02,33
2018-08-01,27
2018-07-31,23
2018-07-30,34
2018-07-29,7
2018-07-28,9
2018-07-27,35
2018-07-26,48
2018-07-25,35
2018-07-24,59
2018-07-23,31
2018-07-22,11
2018-07-21,10
2018-07-20,26
2018-07-19,35
2018-07-18,74
2018-07-17,41
2018-07-16,57
2018-07-15,12
2018-07-14,15
2018-07-13,42
2018-07-12,30
2018-07-11,28
2018-07-10,22
2018-07-09,13
2018-07-08,15
2018-07-07,8
2018-07-06,28
2018-07-05,19
2018-07-04,22
2018-07-03,25
2018-07-02,31
2018-07-01,9
2018-06-30,15
2018-06-29,31
2018-06-28,67
2018-06-27,50
2018-06-26,42
2018-06-25,69
2018-06-24,22
2018-06-23,11
2018-06-22,58
2018-06-21,37
2018-06-20,105
2018-06-19,31
2018-06-18,85
2018-06-17,15
2018-06-16,14
2018-06-15,21
2018-06-14,52
2018-06-13,38
2018-06-12,42
2018-06-11,94
2018-06-10,17
2018-06-09,9
2018-06-08,22
2018-06-07,44
2018-06-06,49
2018-06-05,40
2018-06-04,36
2018-06-03,20
2018-06-02,16
2018-06-01,28
2018-05-31,34
2018-05-30,34
2018-05-29,40
2018-05-28,10
2018-05-27,12
2018-05-26,10
2018-05-25,36
2018-05-24,100
2018-05-23,45
2018-05-22,50
2018-05-21,31
2018-05-20,9
2018-05-19,10
2018-05-18,35
2018-05-17,30
2018-05-16,60
2018-05-15,80
2018-05-14,98
2018-05-13,19
2018-05-12,9
2018-05-11,62
2018-05-10,42
2018-05-09,40
2018-05-08,63
2018-05-07,51
2018-05-06,12
2018-05-05,16
2018-05-04,38
2018-05-03,26
2018-05-02,44
2018-05-01,36
2018-04-30,29
2018-04-29,6
2018-04-28,7
2018-04-27,35
2018-04-26,49
2018-04-25,58
2018-04-24,55
2018-04-23,67
2018-04-22,12
2018-04-21,8
2018-04-20,65
2018-04-19,48
2018-04-18,67
2018-04-17,64
2018-04-16,32
2018-04-15,11
2018-04-14,7
2018-04-13,59
2018-04-12,71
2018-04-11,53
2018-04-10,67
2018-04-09,45
2018-04-08,9
2018-04-07,19
2018-04-06,104
2018-04-05,94
2018-04-04,48
2018-04-03,84
2018-04-02,38
2018-04-01,40
2018-03-31,13
2018-03-30,24
2018-03-29,71
2018-03-28,33
2018-03-27,64
2018-03-26,72
2018-03-25,14
2018-03-24,12
2018-03-23,69
2018-03-22,104
2018-03-21,51
2018-03-20,97
2018-03-19,123
2018-03-18,9
2018-03-17,12
2018-03-16,75
2018-03-15,84
2018-03-14,122
2018-03-13,74
2018-03-12,51
2018-03-11,9
2018-03-10,7
2018-03-09,112
2018-03-08,158
2018-03-07,138
2018-03-06,53
2018-03-05,58
2018-03-04,21
2018-03-03,13
2018-03-02,102
2018-03-01,66
2018-02-28,62
2018-02-27,111
2018-02-26,91
2018-02-25,13
2018-02-24,9
2018-02-23,69
2018-02-22,94
2018-02-21,103
2018-02-20,119
2018-02-19,72
2018-02-18,19
2018-02-17,18
2018-02-16,91
2018-02-15,140
2018-02-14,105
2018-02-13,167
2018-02-12,74
2018-02-11,37
2018-02-10,25
2018-02-09,130
2018-02-08,173
2018-02-07,157
2018-02-06,241
2018-02-05,202
2018-02-04,37
2018-02-03,30
2018-02-02,235
2018-02-01,212
2018-01-31,191
2018-01-30,211
2018-01-29,259
2018-01-28,56
2018-01-27,42
2018-01-26,191
2018-01-25,213
2018-01-24,133
2018-01-23,166
2018-01-22,143
2018-01-21,22
2018-01-20,19
2018-01-19,101
2018-01-18,255
2018-01-17,354
2018-01-16,268
2018-01-15,147
2018-01-14,49
2018-01-13,45
2018-01-12,222
2018-01-11,299
2018-01-10,179
2018-01-09,213
2018-01-08,154
2018-01-07,24
2018-01-06,28
2018-01-05,93
2018-01-04,128
2018-01-03,147
2018-01-02,119
2018-01-01,19
2017-12-31,12
2017-12-30,22
2017-12-29,111
2017-12-28,181
2017-12-27,110
2017-12-26,131
2017-12-25,42
2017-12-24,20
2017-12-23,31
2017-12-22,287
2017-12-21,218
2017-12-20,218
2017-12-19,164
2017-12-18,205
2017-12-17,38
2017-12-16,28
2017-12-15,114
2017-12-14,159
2017-12-13,278
2017-12-12,294
2017-12-11,357
2017-12-10,73
2017-12-09,23
2017-12-08,169
2017-12-07,324
2017-12-06,175
2017-12-05,77
2017-12-04,149
2017-12-03,33
2017-12-02,18
2017-12-01,152
2017-11-30,173
2017-11-29,315
2017-11-28,148
2017-11-27,161
2017-11-26,15
2017-11-25,2
2017-11-24,21
2017-11-23,22
2017-11-22,49
2017-11-21,89
2017-11-20,66
2017-11-19,5
2017-11-18,3
2017-11-17,51
2017-11-16,51
2017-11-15,52
2017-11-14,50
2017-11-13,104
2017-11-12,4
2017-11-11,0
2017-11-10,29
2017-11-09,46
2017-11-08,51
2017-11-07,37
2017-11-06,34
2017-11-05,16
2017-11-04,1
2017-11-03,49
2017-11-02,77
2017-11-01,62
2017-10-31,46
2017-10-30,20
2017-10-29,2
2017-10-28,12
2017-10-27,22
2017-10-26,20
2017-10-25,35
2017-10-24,39
2017-10-23,23
2017-10-22,0
2017-10-21,5
2017-10-20,26
2017-10-19,20
2017-10-18,29
2017-10-17,52
2017-10-16,35
2017-10-15,15
2017-10-14,6
2017-10-13,52
2017-10-12,71
2017-10-11,52
2017-10-10,34
2017-10-09,8
2017-10-08,0
2017-10-07,2
2017-10-06,27
2017-10-05,31
2017-10-04,32
2017-10-03,39
2017-10-02,56
2017-10-01,7
2017-09-30,6
2017-09-29,69
2017-09-28,28
2017-09-27,40
2017-09-26,28
2017-09-25,18
2017-09-24,3
2017-09-23,0
2017-09-22,29
2017-09-21,21
2017-09-20,29
2017-09-19,50
2017-09-18,51
2017-09-17,10
2017-09-16,2
2017-09-15,134
2017-09-14,90
2017-09-13,50
2017-09-12,67
2017-09-11,37
2017-09-10,13
2017-09-09,2
2017-09-08,53
2017-09-07,18
2017-09-06,21
2017-09-05,82
2017-09-04,71
2017-09-03,2
2017-09-02,1
2017-09-01,15
2017-08-31,31
2017-08-30,24
2017-08-29,14
2017-08-28,20
2017-08-27,2
2017-08-26,2
2017-08-25,8
2017-08-24,20
2017-08-23,10
2017-08-22,22
2017-08-21,19
2017-08-20,1
2017-08-19,5
2017-08-18,17
2017-08-17,17
2017-08-16,22
2017-08-15,7
2017-08-14,33
2017-08-13,4
2017-08-12,2
2017-08-11,21
2017-08-10,22
2017-08-09,10
2017-08-08,25
2017-08-07,13
2017-08-06,3
2017-08-05,1
2017-08-04,5
2017-08-03,10
2017-08-02,14
2017-08-01,27
2017-07-31,9
2017-07-30,3
2017-07-29,0
2017-07-28,4
2017-07-27,14
2017-07-26,28
2017-07-25,16
2017-07-24,24
2017-07-23,4
2017-07-22,2
2017-07-21,21
2017-07-20,31
2017-07-19,11
2017-07-18,38
2017-07-17,34
2017-07-16,0
2017-07-15,0
2017-07-14,12
2017-07-13,9
2017-07-12,31
2017-07-11,44
2017-07-10,16
2017-07-09,1
2017-07-08,0
2017-07-07,14
2017-07-06,12
2017-07-05,17
2017-07-04,2
2017-07-03,6
2017-07-02,0
2017-07-01,1
2017-06-30,12
2017-06-29,8
2017-06-28,23
2017-06-27,27
2017-06-26,19
2017-06-25,2
2017-06-24,4
2017-06-23,0
2017-06-22,8
2017-06-21,6
2017-06-20,20
2017-06-19,9
2017-06-18,3
2017-06-17,0
2017-06-16,5
2017-06-15,23
2017-06-14,9
2017-06-13,12
2017-06-12,14
2017-06-11,3
2017-06-10,3
2017-06-09,8
2017-06-08,24
2017-06-07,10
2017-06-06,18
2017-06-05,14
2017-06-04,0
2017-06-03,1
2017-06-02,8
2017-06-01,28
2017-05-31,13
2017-05-30,7
2017-05-29,15
2017-05-28,1
2017-05-27,0
2017-05-26,18
2017-05-25,44
2017-05-24,14
2017-05-23,7
2017-05-22,24
2017-05-21,0
2017-05-20,4
2017-05-19,17
2017-05-18,10
2017-05-17,8
2017-05-16,28
2017-05-15,50
2017-05-14,4
2017-05-13,20
2017-05-12,36
2017-05-11,0
2017-05-10,8
2017-05-09,5
2017-05-08,0
2017-05-07,0
2017-05-06,0
2017-05-05,10
2017-05-04,1
2017-05-03,3
2017-05-02,10
2017-05-01,4
2017-04-30,5
2017-04-29,2
2017-04-28,1
2017-04-27,5
2017-04-26,8
2017-04-25,3
2017-04-24,4
2017-04-23,0
2017-04-22,0
2017-04-21,2
2017-04-20,3
2017-04-19,0
2017-04-18,3
2017-04-17,5
2017-04-16,1
2017-04-15,0
2017-04-14,0
2017-04-13,0
2017-04-12,7
2017-04-11,9
2017-04-10,5
2017-04-09,0
2017-04-08,0
2017-04-07,0
2017-04-06,4
2017-04-05,3
2017-04-04,4
2017-04-03,5
2017-04-02,0
2017-04-01,0
2017-03-31,2
2017-03-30,8
2017-03-29,1
2017-03-28,8
2017-03-27,0
2017-03-26,2
2017-03-25,0
2017-03-24,0
2017-03-23,2
2017-03-22,3
2017-03-21,0
2017-03-20,13
2017-03-19,0
2017-03-18,0
2017-03-17,13
2017-03-16,5
2017-03-15,5
2017-03-14,4
2017-03-13,23
2017-03-12,5
2017-03-11,8
2017-03-10,31
2017-03-09,15
2017-03-08,18
2017-03-07,8
2017-03-06,8
2017-03-05,10
2017-03-04,1
2017-03-03,20
2017-03-02,5
2017-03-01,2
2017-02-28,9
2017-02-27,8
2017-02-26,0
2017-02-25,1
2017-02-24,11
2017-02-23,15
2017-02-22,7
2017-02-21,3
2017-02-20,0
2017-02-19,0
2017-02-18,0
2017-02-17,1
2017-02-16,0
2017-02-15,1
2017-02-14,0
2017-02-13,4
2017-02-12,0
2017-02-11,0
2017-02-10,7
2017-02-09,49
2017-02-08,25
2017-02-07,7
2017-02-06,10
2017-02-05,0
2017-02-04,0
2017-02-03,4
2017-02-02,8
2017-02-01,6
2017-01-31,5
2017-01-30,7
2017-01-29,1
2017-01-28,0
2017-01-27,1
2017-01-26,5
2017-01-25,11
2017-01-24,4
2017-01-23,17
2017-01-22,0
2017-01-21,0
2017-01-20,10
2017-01-19,22
2017-01-18,22
2017-01-17,16
2017-01-16,22
2017-01-15,1
2017-01-14,0
2017-01-13,3
2017-01-12,8
2017-01-11,31
2017-01-10,14
2017-01-09,32
2017-01-08,1
2017-01-07,2
2017-01-06,39
2017-01-05,15
2017-01-04,23
2017-01-03,9
2017-01-02,0
2017-01-01,1
2016-12-31,0
2016-12-30,3
2016-12-29,8
2016-12-28,2
2016-12-27,0
2016-12-26,2
2016-12-25,4
2016-12-24,0
2016-12-23,12
2016-12-22,12
2016-12-21,4
2016-12-20,14
2016-12-19,0
2016-12-18,2
2016-12-17,1
2016-12-16,8
2016-12-15,2
2016-12-14,7
2016-12-13,12
2016-12-12,2
2016-12-11,2
2016-12-10,0
2016-12-09,1
2016-12-08,4
2016-12-07,12
2016-12-06,10
2016-12-05,7
2016-12-04,1
2016-12-03,0
2016-12-02,0
2016-12-01,6
2016-11-30,8
2016-11-29,10
2016-11-28,13
2016-11-27,0
2016-11-26,0
2016-11-25,3
2016-11-24,4
2016-11-23,10
2016-11-22,5
2016-11-21,7
2016-11-20,0
2016-11-19,2
2016-11-18,18
2016-11-17,9
2016-11-16,31
2016-11-15,21
2016-11-14,0
2016-11-13,0
2016-11-12,0
2016-11-11,21
2016-11-10,3
2016-11-09,10
2016-11-08,5
2016-11-07,5
2016-11-06,0
2016-11-05,0
2016-11-04,3
2016-11-03,28
2016-11-02,6
2016-11-01,5
